"Previous_Items1","Previous_Items2","Previous_Items3","Previous_Items4","Predicted_Items","support","confidence","lift"
,,,"OZ,PRec","IPlay,OZ",0.241965973534972,0.920863309352518,2.36474121673535
"PRec",,,"OZ,OZ2,Play","IPlay,OZ",0.109640831758034,0.892307692307692,2.29141150112024
,,,"OZ,OZ2,Play","IPlay,OZ",0.120982986767486,0.888888888888889,2.28263214670982
,,,"OZ2,Play,Direct","IPlay,OZ",0.102079395085066,0.885245901639344,2.27327709692822
"PRec",,,"OZ2,Play","IPlay,OZ",0.128544423440454,0.871794871794872,2.23873537465771
,,,"OZ2,Play,Direct","IPlay,OZ2",0.102079395085066,0.885245901639344,2.19856845993997
,,,"OZ2,Play","IPlay,OZ",0.141776937618147,0.852272727272727,2.18860326566637
"PRec",,,"OZ,ZEnt","IPlay,OZ",0.103969754253308,0.846153846153846,2.17289021657954
,,,"ZEnt,Carried","IPlay,OZ2",0.117202268431002,0.873239436619718,2.16874958672221
"PRec",,,"ZEnt,Carried","IPlay,OZ2",0.109640831758034,0.865671641791045,2.14995445308668
"PRec",,,"ZEnt","IPlay,OZ",0.132325141776938,0.823529411764706,2.11479154768704
,,,"OZ,ZEnt","IPlay,OZ",0.111531190926276,0.819444444444444,2.10430151024811
,,,"OZ,ZEnt","IPlay,OZ2",0.11531190926276,0.847222222222222,2.10413406364111
,,,"ZEnt,Carried","IPlay,OZ",0.109640831758034,0.816901408450704,2.09777109257487
,,,"OZ2,Play","IPlay,OZ2",0.139886578449905,0.840909090909091,2.08845497225779
"Play",,,"ZEnt","IPlay,OZ2",0.109640831758034,0.840579710144928,2.08763693270736
,,,"ZEnt","IPlay,OZ2",0.147448015122873,0.838709677419355,2.0829925791307
,,,"ZEnt","IPlay,OZ",0.141776937618147,0.806451612903226,2.07093642342624
"PRec",,,"ZEnt,Carried","IPlay,OZ",0.102079395085066,0.805970149253731,2.06970004347196
"PRec",,,"OZ2,Play","IPlay,OZ2",0.122873345935728,0.833333333333333,2.06964006259781
"PRec",,,"OZ,ZEnt","IPlay,OZ2",0.102079395085066,0.830769230769231,2.06327193932828
"PRec","Play",,"ZEnt","IPlay,OZ2",0.100189035916824,0.828125,2.05670481220657
"PRec",,,"ZEnt","IPlay,OZ2",0.132325141776938,0.823529411764706,2.04529135597901
,,,"OZ,OZ2,Play","IPlay,OZ2",0.111531190926276,0.819444444444444,2.03514606155451
,,,"OZ,Play","IPlay,OZ2",0.136105860113422,0.818181818181818,2.03201024327785
"PRec",,,"OZ,OZ2,Play","IPlay,OZ2",0.100189035916824,0.815384615384615,2.02506319971109
"PRec",,,"OZ,Play","IPlay,OZ2",0.122873345935728,0.8125,2.01789906103286
,,,"ZEnt,Carried","IPlay,Direct",0.107750472589792,0.802816901408451,1.36118634886241
,,,"PRec","IPlay",0.905482041587902,1,1
,,,"Play","IPlay",0.482041587901701,1,1
"PRec",,,"Play","IPlay",0.438563327032136,1,1
,,,"Play,Direct","IPlay",0.351606805293006,1,1
"PRec",,,"Play,Direct","IPlay",0.321361058601134,1,1
,,,"DZ,PRec","IPlay",0.279773156899811,1,1
,,,"fw,Play","IPlay",0.274102079395085,1,1
,,,"OZ,PRec","IPlay",0.262759924385633,1,1
,,,"Indirect,Play","IPlay",0.262759924385633,1,1
"PRec",,,"fw,Play","IPlay",0.251417769376181,1,1
,,,"Medium,Play","IPlay",0.247637051039698,1,1
"PRec",,,"Indirect,Play","IPlay",0.243856332703214,1,1
,,,"Play,Short","IPlay",0.241965973534972,1,1
,,,"Long,Play","IPlay",0.234404536862004,1,1
"Play",,,"Play","IPlay",0.232514177693762,1,1
,,,"lfw,Play","IPlay",0.232514177693762,1,1
,,,"DZ,Play","IPlay",0.23062381852552,1,1
"PRec",,,"Play,Short","IPlay",0.22117202268431,1,1
"PRec",,,"Long,Play","IPlay",0.22117202268431,1,1
,,,"BND,PRec","IPlay",0.219281663516068,1,1
,,,"DZ2,Play","IPlay",0.219281663516068,1,1
"PRec",,,"Medium,Play","IPlay",0.219281663516068,1,1
"PRec","Play",,"Play","IPlay",0.217391304347826,1,1
"PRec",,,"lfw,Play","IPlay",0.213610586011342,1,1
"PRec",,,"DZ,Play","IPlay",0.2117202268431,1,1
"PRec",,,"DZ2,Play","IPlay",0.194706994328922,1,1
,,,"Medium,Play,Direct","IPlay",0.177693761814745,1,1
,,,"fw,Play,Direct","IPlay",0.177693761814745,1,1
,,,"ZEnt","IPlay",0.175803402646503,1,1
,,,"Play,Short,Direct","IPlay",0.172022684310019,1,1
"Play",,,"Play,Direct","IPlay",0.172022684310019,1,1
"Play,Direct",,,"Play","IPlay",0.168241965973535,1,1
,,,"lfw,Play,Direct","IPlay",0.168241965973535,1,1
,,,"DZ,Play,Direct","IPlay",0.168241965973535,1,1
,,,"OZ2,Play","IPlay",0.166351606805293,1,1
,,,"OZ,Play","IPlay",0.166351606805293,1,1
"PRec",,,"fw,Play,Direct","IPlay",0.164461247637051,1,1
"PRec","Play",,"Play,Direct","IPlay",0.164461247637051,1,1
"PRec",,,"ZEnt","IPlay",0.160680529300567,1,1
"PRec",,,"Medium,Play,Direct","IPlay",0.158790170132325,1,1
,,,"DZ2,Play,Direct","IPlay",0.158790170132325,1,1
"PRec",,,"Play,Short,Direct","IPlay",0.156899810964083,1,1
"PRec","Play,Direct",,"Play","IPlay",0.156899810964083,1,1
"PRec",,,"lfw,Play,Direct","IPlay",0.156899810964083,1,1
"PRec",,,"DZ,Play,Direct","IPlay",0.153119092627599,1,1
"PRec",,,"OZ,Play","IPlay",0.151228733459357,1,1
,,,"DZ,DZ2,Play","IPlay",0.151228733459357,1,1
,,,"NZ,PRec","IPlay",0.147448015122873,1,1
"PRec",,,"OZ2,Play","IPlay",0.147448015122873,1,1
,,,"Indirect,Long,Play","IPlay",0.141776937618147,1,1
"PRec",,,"DZ2,Play,Direct","IPlay",0.141776937618147,1,1
,,,"NZ2,Play","IPlay",0.139886578449905,1,1
,,,"OZ,ZEnt","IPlay",0.136105860113422,1,1
,,,"OZ,OZ2,Play","IPlay",0.136105860113422,1,1
,,,"ZEnt,Carried","IPlay",0.13421550094518,1,1
"PRec",,,"DZ,DZ2,Play","IPlay",0.13421550094518,1,1
"DZ,PRec",,,"Play","IPlay",0.132325141776938,1,1
"BND,PRec",,,"Play","IPlay",0.132325141776938,1,1
"PRec",,,"NZ2,Play","IPlay",0.132325141776938,1,1
"PRec",,,"Indirect,Long,Play","IPlay",0.132325141776938,1,1
,,,"DZ,fw,Play","IPlay",0.132325141776938,1,1
"Play",,,"ZEnt","IPlay",0.130434782608696,1,1
,,,"lbw,Play","IPlay",0.130434782608696,1,1
"Indirect,Play",,,"Play","IPlay",0.130434782608696,1,1
"Play",,,"Long,Play","IPlay",0.130434782608696,1,1
"Play",,,"fw,Play","IPlay",0.128544423440454,1,1
"Play,Direct",,,"Play,Direct","IPlay",0.128544423440454,1,1
"PRec",,,"ZEnt,Carried","IPlay",0.126654064272212,1,1
,,,"BND,Play","IPlay",0.126654064272212,1,1
"PRec",,,"lbw,Play","IPlay",0.126654064272212,1,1
,,,"NZ,Play","IPlay",0.12476370510397,1,1
"PRec","Indirect,Play",,"Play","IPlay",0.12476370510397,1,1
"PRec",,,"OZ,ZEnt","IPlay",0.122873345935728,1,1
"Play","Play",,"Play","IPlay",0.122873345935728,1,1
"PRec",,,"OZ,OZ2,Play","IPlay",0.122873345935728,1,1
"Play",,,"Medium,Play","IPlay",0.122873345935728,1,1
"PRec","Play",,"Long,Play","IPlay",0.122873345935728,1,1
"Play",,,"lfw,Play","IPlay",0.122873345935728,1,1
"PRec","Play,Direct",,"Play,Direct","IPlay",0.122873345935728,1,1
"PRec","Play",,"ZEnt","IPlay",0.120982986767486,1,1
,,,"NZ2,Play,Direct","IPlay",0.120982986767486,1,1
,,,"fw,Medium,Play","IPlay",0.120982986767486,1,1
"PRec","Play",,"fw,Play","IPlay",0.120982986767486,1,1
"PRec",,,"PRec","IPlay",0.119092627599244,1,1
"Medium,Play",,,"Play","IPlay",0.119092627599244,1,1
"PRec",,,"DZ,fw,Play","IPlay",0.119092627599244,1,1
"Play,Short",,,"Play","IPlay",0.117202268431002,1,1
"fw,Play",,,"Play","IPlay",0.117202268431002,1,1
"PRec","Play","Play","Play","IPlay",0.117202268431002,1,1
,,,"DZ,DZ2,Play,Direct","IPlay",0.117202268431002,1,1
"DZ,PRec",,,"DZ,Play","IPlay",0.117202268431002,1,1
"PRec",,,"BND,Play","IPlay",0.117202268431002,1,1
"DZ,Play",,,"Play","IPlay",0.11531190926276,1,1
,,,"OZ2,Play,Direct","IPlay",0.11531190926276,1,1
"PRec",,,"NZ,Play","IPlay",0.11531190926276,1,1
,,,"Long,Play,Direct","IPlay",0.11531190926276,1,1
"PRec","Play",,"lfw,Play","IPlay",0.11531190926276,1,1
,,,"fw,Indirect,Play","IPlay",0.11531190926276,1,1
"PRec","fw,Play",,"Play","IPlay",0.113421550094518,1,1
"PRec",,,"NZ2,Play,Direct","IPlay",0.113421550094518,1,1
"PRec","Play",,"Medium,Play","IPlay",0.113421550094518,1,1
"Play",,,"Indirect,Play","IPlay",0.113421550094518,1,1
"PRec","Play,Short",,"Play","IPlay",0.111531190926276,1,1
"lfw,Play",,,"Play","IPlay",0.111531190926276,1,1
"PRec","DZ,Play",,"Play","IPlay",0.111531190926276,1,1
"PRec",,,"Long,Play,Direct","IPlay",0.111531190926276,1,1
,,,"DZ2,fw,Play","IPlay",0.111531190926276,1,1
"Play,Direct",,,"ZEnt","IPlay",0.109640831758034,1,1
"Play",,,"OZ2,Play","IPlay",0.109640831758034,1,1
"PRec",,,"fw,Medium,Play","IPlay",0.109640831758034,1,1
"Play",,,"OZ,Play","IPlay",0.107750472589792,1,1
,,,"NZ,Play,Direct","IPlay",0.107750472589792,1,1
,,,"fw,Long,Play","IPlay",0.107750472589792,1,1
"Long,Play",,,"Play","IPlay",0.10586011342155,1,1
"PRec","Medium,Play",,"Play","IPlay",0.10586011342155,1,1
,,,"lfw,Medium,Play","IPlay",0.10586011342155,1,1
,,,"DZ2,Medium,Play","IPlay",0.10586011342155,1,1
"PRec",,,"fw,Indirect,Play","IPlay",0.10586011342155,1,1
"BND,PRec",,,"Play,Direct","IPlay",0.10586011342155,1,1
,,,"OZ,ZEnt,Carried","IPlay",0.103969754253308,1,1
,,,"Play,bw","IPlay",0.103969754253308,1,1
"PRec",,,"OZ2,Play,Direct","IPlay",0.103969754253308,1,1
"PRec","Play",,"Indirect,Play","IPlay",0.103969754253308,1,1
"PRec",,,"DZ,DZ2,Play,Direct","IPlay",0.103969754253308,1,1
"Play",,,"Play,Short","IPlay",0.102079395085066,1,1
"OZ,PRec",,,"Play","IPlay",0.102079395085066,1,1
"DZ2,Play",,,"Play","IPlay",0.102079395085066,1,1
"PRec","lfw,Play",,"Play","IPlay",0.102079395085066,1,1
"PRec",,,"fw,Long,Play","IPlay",0.102079395085066,1,1
"PRec","Play,Direct",,"ZEnt","IPlay",0.100189035916824,1,1
"Play",,,"OZ,ZEnt","IPlay",0.100189035916824,1,1
"PRec","Long,Play",,"Play","IPlay",0.100189035916824,1,1
"OZ,PRec",,,"OZ,Play","IPlay",0.100189035916824,1,1
,,,"DZ,Medium,Play","IPlay",0.100189035916824,1,1
"BND,PRec",,,"DZ2,Play","IPlay",0.100189035916824,1,1
